platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,fast-attach-corrected,4,child_id_request_to_ack_ms,100,3.92700433,0.7940532722434601,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,11.78813,3.8476228125
otns,fast-attach-corrected,4,child_id_request_ack_to_child_id_response_ms,100,2.31808,2.580538600424886,1.576,1.2800000000000002,0.616,0.936,2.216,9.588799999999999,0.616,11.816,1.624
hardware,fast-attach-corrected,4,child_id_request_ack_to_child_id_response_ms,100,11.12793684,3.1374210841887313,10.328412499999999,1.4876719999999999,8.6088539,9.56511525,11.05278725,17.548155449999992,8.225203,24.844885,10.45142115
otns,fast-attach-ucast-1,2,parent_request_to_ack_ms,100,2.56,0.0,2.56,0.0,2.56,2.56,2.56,2.56,2.56,2.56,2.56
hardware,fast-attach-ucast-1,2,parent_request_to_ack_ms,100,2.63684535,0.6933471395847182,2.567053,0.0009540000000001214,2.566814,2.567053,2.568007,2.568007,2.566814,9.50098,2.567506125
otns,fast-attach-ucast-1,2,parent_request_ack_to_parent_response_ms,100,2.6836,2.532188417519159,1.92,1.504,0.6,1.376,2.88,7.700799999999996,0.6,13.76,2.1448
hardware,fast-attach-ucast-1,2,parent_request_ack_to_parent_response_ms,100,8.81239418,1.0171748779856087,8.9759825,1.6737577499999992,7.372546,7.879019,9.55277675,10.286534049999998,6.572962,10.50806,8.843880949999999
otns,fast-attach-ucast-1,2,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,fast-attach-ucast-1,2,parent_response_to_ack_ms,100,4.0075828,0.0005557416556986845,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.0075899249999996
otns,fast-attach-ucast-1,2,parent_response_ack_to_child_id_request_ms,100,2.232,2.320236839182369,1.576,1.2800000000000002,0.616,0.936,2.216,6.711999999999999,0.616,13.096,1.7
hardware,fast-attach-ucast-1,2,parent_response_ack_to_child_id_request_ms,100,6.5977597,0.8146596114422281,6.6710709999999995,1.3838410000000003,5.4916620499999995,5.892932249999999,7.27677325,7.8712703,5.315065,8.489847,6.5711349
otns,fast-attach-ucast-1,2,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,fast-attach-ucast-1,2,child_id_request_to_ack_ms,100,3.84755132,0.0005443131874761732,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.8475453
otns,fast-attach-ucast-1,2,child_id_request_ack_to_child_id_response_ms,100,2.00288,1.6569748831024336,1.576,1.2800000000000002,0.616,0.936,2.216,4.776,0.616,10.984,1.7
hardware,fast-attach-ucast-1,2,child_id_request_ack_to_child_id_response_ms,100,9.98774289,0.8052226083976813,10.1385115,1.3897417500000007,8.72297265,9.228289,10.61803075,11.07752285,8.482933,11.682987,10.0003302125
otns,fast-attach-ucast-1,3,parent_request_to_ack_ms,100,2.56,0.0,2.56,0.0,2.56,2.56,2.56,2.56,2.56,2.56,2.56
hardware,fast-attach-ucast-1,3,parent_request_to_ack_ms,100,2.5676229900000003,0.0004805069817338897,2.568007,0.0009540000000001214,2.567053,2.567053,2.568007,2.568007,2.566814,2.568007,2.5676581875
otns,fast-attach-ucast-1,3,parent_request_ack_to_parent_response_ms,100,2.71528,2.2344928246549247,2.18,2.444,0.6,1.0759999999999998,3.52,6.6911999999999985,0.6,11.72,2.3222
hardware,fast-attach-ucast-1,3,parent_request_ack_to_parent_response_ms,100,8.67167954,0.9403287527274641,8.818507499999999,1.4770034999999995,6.8268891499999995,7.9216957500000005,9.39869925,10.1502654,6.530046,10.460138,8.69930395
otns,fast-attach-ucast-1,3,parent_response_to_ack_ms,100,4.12576,0.8859231915996677,4.0,0.0,4.0,4.0,4.0,4.0,4.0,10.608,4.0
hardware,fast-attach-ucast-1,3,parent_response_to_ack_ms,100,4.0075493799999995,0.0005393060220825663,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.00754815
otns,fast-attach-ucast-1,3,parent_response_ack_to_child_id_request_ms,100,1.78528,1.364025282505105,1.576,1.04,0.616,0.936,1.976,4.151999999999999,0.616,9.896,1.532
hardware,fast-attach-ucast-1,3,parent_response_ack_to_child_id_request_ms,100,6.72140602,0.8299532216828591,6.81448,1.3026597500000001,5.4975267,6.04373175,7.3463915,7.9150198000000005,5.332947,8.257866,6.724488775
otns,fast-attach-ucast-1,3,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,fast-attach-ucast-1,3,child_id_request_to_ack_ms,100,3.84764434,0.0005387004043588729,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.8476645625
